지점명,매장주소,구,lng,lat
대구효목,대구광역시 동구 동부로 204,대구광역시,128.6344143,35.8783957
봉덕,대구광역시 남구 봉덕로 66 (봉덕동),대구광역시,128.5976587,35.8446452
대구성서,대구광역시 달서구 이곡공원로1길 108,대구광역시,128.5087380,35.8556928
대구용산,대구광역시 달서구 달구벌대로 1565 (죽전동),대구광역시,128.5378344,35.8508863
상인,대구광역시 달서구 월배로 52,대구광역시,128.5203359,35.8131736
월성,대구광역시 달서구 조암로 85-1,대구광역시,128.5210867,35.8226646
대구다사,대구광역시 달성군 다사읍 왕선로 54 (매곡리),대구광역시,128.4645052,35.8642431
대구현풍,"대구광역시 달성군 현풍면 테크노대로 24, 1층 108,109호(테크노플라자1)",대구광역시,128.4495370,35.6887636
대구화원,대구광역시 달성군 화원읍 명천로 255,대구광역시,128.4912243,35.7978355
대구이시아폴리스,"대구광역시 동구 팔공로 241  1층 111호, 112호(봉무동)",대구광역시,128.6402718,35.9205000
반야월,대구광역시 동구 경안로 799,대구광역시,128.7135881,35.8734934
산격,대구광역시 북구 동북로 138-1 (산격동),대구광역시,128.6082035,35.9006456
칠곡,대구광역시 북구 구암로 139-1 (동천동),대구광역시,128.5563139,35.9320266
침산,"대구광역시 북구 침산남로 165-2, 1층 (침산동)",대구광역시,128.5940357,35.8878756
대구시지,대구광역시 수성구 달구벌대로 3076 (시지동),대구광역시,128.6935523,35.8426817
만촌,"대구광역시 수성구 무열로 113-1, 1층",대구광역시,128.6487900,35.8684828
범어,"대구광역시 수성구 동대구로 240, 상가 106호 (범어동, 청구푸른마을아파트)",대구광역시,128.6265323,35.8520599
지산범물,대구광역시 수성구 지범로 11  1층,대구광역시,128.6241189,35.8291998
대구대봉,대구광역시 중구 동덕로 86 (대봉동),대구광역시,128.6032855,35.8624060
대구중앙,대구광역시 중구 달구벌대로 1965 (대신동),대구광역시,128.5791586,35.8642351
광양서천,전라남도 광양시 광양읍 서북로 14  1층,전라남도,127.5795597,34.9720482
광양,전라남도 광양시 사동로 93-1 (중동),전라남도,127.6874934,34.9477961
나주,전라남도 나주시 나주로 208 (성북동),전라남도,126.7218879,35.0349529
목포북항,전라남도 목포시 청호로 175,전라남도,126.3731851,34.8061926
목포하당,전라남도 목포시 백년대로 393,전라남도,126.4291684,34.8084031
무안남악,전라남도 무안군 삼향읍 남악5로72번길 24 (남악리),전라남도,126.4737601,34.8117632
순천신대,전라남도 순천시 해룡면 매안4길 32  1층,전라남도,127.5541697,34.9320766
순천조례,전라남도 순천시 이수로 284 (조례동),전라남도,127.5154912,34.9518727
순천중앙,전라남도 순천시 중앙로 181 (매곡동),전라남도,127.4841793,34.9620072
여수문수,전라남도 여수시 문수로 76 (문수동),전라남도,127.7035616,34.7536739
여천,전라남도 여수시 도원로 277 (학동),전라남도,127.6615607,34.7615055
화순,전라남도 화순군 화순읍 만연로 37    1층,전라남도,126.9900506,35.0591411
고창,전라북도 고창군 고창읍 월곡로 38,전라북도,126.7112447,35.4350518
군산,"전라북도 군산시 백토로 142, A동 101호 (나운동)",전라북도,126.7054741,35.9664687
김제,전라북도 김제시 동서로 284,전라북도,126.8977799,35.8034417
남원,전라북도 남원시 용성로 166  1층,전라북도,127.3928398,35.4132164
완주,전라북도 완주군 봉동읍 과학로 997  1동 1층 103호,전라북도,127.1253756,35.9580551
익산모현,전라북도 익산시 군익로 499  (송학동),전라북도,126.9404692,35.9420241
익산영등,전라북도 익산시 고봉로 18길 1(영등동),전라북도,126.9694286,35.9533489
전주금암,"전라북도 전주시 덕진구 백제대로 658 (금암동, 도미노피자)",전라북도,127.1411792,35.8429063
전주서신,전라북도 전주시 완산구 전룡로 32 (서신동),전라북도,127.1166710,35.8263236
전주송천,전라북도 전주시 덕진구 송천중앙로 56 (송천동1가),전라북도,127.1201699,35.8521061
전주인후,전라북도 전주시 덕진구 견훤로 146 (인후동1가),전라북도,127.1615312,35.8251578
전주혁신,전라북도 전주시 덕진구 기지로 82  대방빌딩 102호,전라북도,127.0609063,35.8380910
전주효자,"전라북도 전주시 완산구 백제대로 133 (효자동1가, 도미노피자)",전라북도,127.1232557,35.8047433
정읍,전라북도 정읍시 우암로 88 (장명동),전라북도,126.8605626,35.5663849
광주광산,광주광역시 광산구 목련로 138 (월곡동),광주광역시,126.8128635,35.1716964
광주송정,광주광역시 광산구 상무대로 305 (소촌동),광주광역시,126.7990349,35.1437942
광주첨단,광주광역시 광산구 월계로 223-7,광주광역시,126.8496810,35.2141182
광주주월,"광주광역시 남구 봉선로 2, 1층 (주월동, 창신빌딩)",광주광역시,126.9018666,35.1326136
광주진월,광주광역시 남구 효덕로 310  1층,광주광역시,126.8963775,35.1110898
광주금남로,광주광역시 동구 중앙로 214 (궁동),광주광역시,126.9175437,35.1516413
광주문흥,광주광역시 북구 서하로 339 (문흥동),광주광역시,126.9176734,35.1870281
광주양산,광주광역시 북구 하서로 344 (양산동),광주광역시,126.8737165,35.2058006
광주운암,광주광역시 북구 서암대로 28  1층,광주광역시,126.8878158,35.1725070
광주금호,광주광역시 서구 운천로 117 1층,광주광역시,126.8574552,35.1430447
광주화정,광주광역시 서구 상무대로 1070 (화정동),광주광역시,126.8790195,35.1521660
울산공업탑,울산광역시 남구 수암로 6 (신정동),울산광역시,129.3087111,35.5317733
울산달동,울산광역시 남구 번영로 53  1층 도미노피자,울산광역시,129.3301842,35.5304468
울산무거,울산광역시 남구 삼호로 3 (무거동),울산광역시,129.2646917,35.5499915
울산삼산,"울산광역시 남구 돋질로 246, 1층 (달동)",울산광역시,129.3319806,35.5430292
울산전하,울산광역시 동구 방어진순환도로 735 (전하동),울산광역시,129.4297852,35.5075375
울산호계,울산광역시 북구 동대로 69-1 (호계동),울산광역시,129.3590850,35.6292744
울산화봉,울산광역시 북구 화봉로 143 (연암동),울산광역시,129.3702168,35.5838897
언양,"울산광역시 울주군 언양읍 북문5길 7, 2호 (신화빌라)",울산광역시,129.1250324,35.5705377
울산범서,울산광역시 울주군 범서읍 대리로 105 (구영리),울산광역시,129.2495231,35.5656837
울산온산,울산광역시 울주군 온산읍 신경3길 55 (덕신리),울산광역시,129.3068847,35.4304047
울산병영,울산광역시 중구 평산1길 2 (약사동),울산광역시,129.3412758,35.5676426
울산성안,울산광역시 중구 성안로 134,울산광역시,129.3150432,35.5726108
명지,"부산 강서구 명지오션시티10로 16, 201호 (명지동, 퀸덤1차링컨타운)",부산,128.8976538,35.0855819
구서,부산 금정구 금강로 433 (구서동),부산,129.0886738,35.2462240
부산대,부산 금정구 금정로 54,부산,129.0863773,35.2293793
기장,부산 기장군 기장읍 차성동로154번길 2 (교리),부산,129.2175245,35.2514000
정관,부산 기장군 정관읍 용수로 23,부산,129.1783349,35.3257379
대연,부산 남구 수영로 256 (대연동),부산,129.0945762,35.1351209
용호남천,부산 남구 수영로 346  1층,부산,129.1033866,35.1386454
동래,"부산 동래구 아시아드대로 203 (온천동, 도미노피자)",부산,129.0656579,35.2024835
충렬사역,부산 동래구 반송로  217,부산,129.0975898,35.2003119
부산개금,"부산 부산진구 가야대로 467, 1층 (개금동)",부산,129.0231558,35.1535076
서면,부산 부산진구 전포대로 195 (전포동),부산,129.0650407,35.1541258
초읍,부산 부산진구 성지로 58  1층,부산,129.0549288,35.1757672
덕천,부산 북구 만덕대로 116 (덕천동),부산,129.0173406,35.2129252
화명,부산 북구 화명신도시로 77 (화명동),부산,129.0099683,35.2310045
모라,"부산 사상구 사상로 520 (모라동, 도미노피자)",부산,128.9894648,35.1904744
학장,부산 사상구 학감대로 226,부산,128.9900927,35.1510507
괴정,부산 사하구 사하로 169 (괴정동),부산,128.9934212,35.0968940
다대포,부산 사하구 다대로 571 (다대동),부산,128.9708858,35.0554666
하단,부산 사하구 하신중앙로 333 (하단동),부산,128.9663897,35.1054179
대신,"부산 서구 구덕로 303-1, 1층 (서대신동2가)",부산,129.0171138,35.1109749
수영,"부산 수영구 수영로 640-1, 1층 (광안동)",부산,129.1144689,35.1628265
연산,부산 연제구 중앙대로 1173 (1층),부산,129.0797063,35.1922794
연제토곡,"부산 연제구 과정로 156, 1층",부산,129.1073983,35.1853606
영도,부산 영도구 태종로 329-1 (청학동),부산,129.0618813,35.0963974
반여재송,"부산 해운대구 반여로 23 (반여동, 도미노피자)",부산,129.1194914,35.1948563
부산반송,부산 해운대구 아랫반송로21번길 106 (반송동),부산,129.1487472,35.2281371
센텀,부산 해운대구 해운대로 535 (우동),부산,129.1507027,35.1603092
해운대,부산 해운대구 해운대로 793 부산자생한방병원 상가 108호,부산,129.1752630,35.1696670
제주서귀포,제주특별자치도 서귀포시 신서귀로 118,제주특별자치도,126.5105839,33.2589354
제주노형,제주특별자치도 제주시 연북로 18 (노형동),제주특별자치도,126.4831218,33.4816947
제주특별자치도 제주시 승천로 70 (1층),제주특별자치도 제주시 승천로 70 (1층),제주특별자치도,126.5423647,33.4924138
제주화북,제주특별자치도 제주시 화삼로 19 (화북1동),제주특별자치도,126.5751540,33.5144240
세종다정,"세종특별자치시 한누리대로 331 SR파크센텀 103호,104호",세종특별자치시,127.2558359,36.4939328
세종보람,"세종특별자치시 시청대로 209 금강르네상스 1층 107,108호",세종특별자치시,127.2931588,36.4832571
세종아름,"세종특별자치시 보듬3로 91, 115~116호 (아름동, 해피라움4)",세종특별자치시,127.2495907,36.5113452
조치원,세종특별자치시 조치원읍 문화길 39  1층,세종특별자치시,127.2893117,36.6029312
